record_id,window_idx,b_const_mean,b_roll_mean,b_roll_range,b_diff_whole_rec,b_const_outside_normal
1001,0,140.0,147.2314405070406,27.185293857247103,0.0,False
1001,1,145.0,146.35286576336088,33.98089964272775,5.0,False
1001,2,145.0,146.87900381587605,32.88726943788154,5.0,False
1001,3,140.0,145.06091551666742,32.88726943788157,0.0,False
1001,4,135.0,141.44157134487705,32.99823342316844,5.0,False
1001,5,135.0,136.24905044449926,61.558862507085394,5.0,False
1001,6,135.0,133.85569641867994,15.679152812753514,5.0,False
1001,7,135.0,132.67576370535917,13.397868789888307,5.0,False
1001,8,135.0,132.89005617039447,14.015712304186422,5.0,False
1001,9,135.0,135.48760763220253,17.519082725525166,5.0,False
1001,10,135.0,135.7509626456862,17.81403624403869,5.0,False
1001,11,135.0,136.50676777122723,16.790471772316565,5.0,False
1001,12,140.0,135.87267067779317,57.56925813957483,0.0,False
1001,13,140.0,131.7559147921273,150.8334787135063,0.0,False
1001,14,140.0,112.33466449684313,150.81698138669393,0.0,False
1001,15,95.0,100.9361805541761,150.81698138669393,45.0,True
1001,16,95.0,89.57496497620755,150.81698138669393,45.0,True
1002,0,150.0,153.6485823836189,14.49323998415565,5.0,False
1002,1,155.0,155.3746879349722,25.228117802278234,0.0,False
1002,2,155.0,157.54763032094473,23.314124423869174,0.0,False
1002,3,155.0,146.71767620037144,173.06398783058705,0.0,False
1002,4,155.0,158.71247327770124,22.873092554685115,0.0,False
1002,5,155.0,158.7968260484506,23.120440848166282,0.0,False
1002,6,160.0,160.29131680632378,21.443905339441102,5.0,False
1002,7,155.0,160.19817542929022,21.443905339441102,0.0,False
1002,8,160.0,162.5323500429813,27.03854466225036,5.0,False
1002,9,160.0,155.64116401631802,79.30281739432651,5.0,False
1002,10,155.0,143.51465751879658,84.92885663618009,0.0,False
1002,11,155.0,141.06941052069888,84.92885663618009,0.0,False
1002,12,155.0,136.76602527247954,84.92885663618009,0.0,False
